line,affected_load,load_bus,load_p_mw
L_1,LoadA,6,0.2
L_2,LoadA,6,0.2
L_6,LoadA,6,0.2
L_1,LoadB,7,0.1
L_10,LoadB,7,0.1
L_2,LoadB,7,0.1
L_3,LoadB,7,0.1
L_4,LoadB,7,0.1
L_5,LoadB,7,0.1
L_6,LoadB,7,0.1
L_7,LoadB,7,0.1
L_8,LoadB,7,0.1
L_9,LoadB,7,0.1
L_1,LoadC,8,0.3
L_10,LoadC,8,0.3
L_2,LoadC,8,0.3
L_3,LoadC,8,0.3
L_4,LoadC,8,0.3
L_5,LoadC,8,0.3
L_6,LoadC,8,0.3
L_7,LoadC,8,0.3
L_8,LoadC,8,0.3
L_9,LoadC,8,0.3
L_1,LoadD,9,1.0
L_10,LoadD,9,1.0
L_2,LoadD,9,1.0
L_3,LoadD,9,1.0
L_4,LoadD,9,1.0
L_5,LoadD,9,1.0
L_6,LoadD,9,1.0
L_7,LoadD,9,1.0
L_8,LoadD,9,1.0
L_9,LoadD,9,1.0
L_1,LoadE,10,0.1
L_10,LoadE,10,0.1
L_2,LoadE,10,0.1
L_3,LoadE,10,0.1
L_4,LoadE,10,0.1
L_5,LoadE,10,0.1
L_6,LoadE,10,0.1
L_7,LoadE,10,0.1
L_8,LoadE,10,0.1
L_9,LoadE,10,0.1
